"","total","SE"
"GVTREGNNorth East",53792,10197.161151546
"GVTREGNNorth West",154121,16136.0381165144
"GVTREGNYorks & Humber",132013,17420.8098613552
"GVTREGNEast Midlands",136652,16955.412088042
"GVTREGNWest Midlands",113162,14481.6177646002
"GVTREGNEast",101135,12213.4165432037
"GVTREGNLondon",262469,26850.9867640967
"GVTREGNSouth East",191286,19934.8271964916
"GVTREGNSouth West",129406,16273.5280300362
