"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,0,0,672.732984266186,0,0,0,0,0,0,0,34.54480895141,444.88647928525
"West","West",0,0,0,0,0,0,0,109.811716054493,2398.37527878772,0,0,0,0,0,0,25.1558066483954,522.172762187364,1914.80436248894
"East","East",0,0,0,0,0,0,0,469.508007687919,3691.60021265285,0,0,0,0,0,0,52.6558162611465,453.430855350743,2658.58976013517
"London and South East","London and South East",0,0,0,0,0,0,0,409.211553473849,3204.7585114806,0,0,0,0,0,0,20.8909282941766,367.353688985751,2675.40368122084
