"","grpd_region1","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North",0,2697.34367088608,4264,5803.95249500998,8906.68926553672,13144.7166666667,17225.3526537489,20648.6906892382,24005.4240753194,265.31099760082,1061.24399040328,567.406314726135,1008.3510110916,1225.68406078036,1361.48642088259,1139.91499636781,902.057391842788,1499.52955558566
"2","West",2563.26631016043,5512,7384.85834932821,9724,11070.6655811113,13571.7761721753,16337.1490391459,19692.6821052632,22900.4287238408,1148.75298694042,823.393111380724,885.50514868065,875.706220567844,736.840491419398,1110.55176922327,1177.94272280405,1121.30142518319,945.202852203275
"3","East",2968.41835716661,4367.61359248975,6244.53916666667,8216,10504,13350.6846361186,15107.9870967742,19766.0290449882,23579.2982785603,969.916735688727,446.36221085501,901.416875025538,804.380872809669,1185.45540376999,1072.55734356345,1216.0785196376,1252.24969712535,1377.99777983295
"4","London and South East",228.990575916231,4351.84387197502,5768.02349452555,8825.14285714286,13080.0245133381,16674.5639288738,19916,22204,27250.078680203,815.105670654789,627.626466435513,821.389296608276,1078.02134079551,1477.52548380467,1249.3505815202,808.896852084162,807.104947508377,1251.35417286016
"5","England",272.481858802503,4264,5772,8320,10963.9529411765,14352,17784.7561938959,20985.190619531,24599.4449373192,NA,NA,NA,NA,NA,NA,NA,NA,NA
