"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.195774962786018,0.804225037213982,0.0289749925566237,0.0289749925566237
"West","West",0.292070677088487,0.707929322911513,0.0407537145847503,0.0407537145847503
"East","East",0.26268887702019,0.73731112297981,0.0373711982342756,0.0373711982342756
"London and South East","London and South East",0.27266035635971,0.72733964364029,0.0306026187444735,0.0306026187444735
