"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",5617.84760582929,6003.22620628597,8418.08237791932,11405.9334221039,13791.3242341523,15785.663187206,20393.7574667956,23342.3967153285,26660.9296995181,1586.57332209343,1840.28692793932,1896.08003590444,2274.77085053533,2719.75484891225,2682.52074186013,2921.91205824626,2169.48398455449,1814.82253063685
"2","North West",5381.45149501661,7927.99916657627,9014.40101068689,10669.6412214892,14698.6375054426,16517.8815825375,18208.1475857284,22039.2400789733,25767.5939368421,1835.65123354256,604.085067751298,658.485598740959,1466.26983630316,1515.45696509899,909.774599031653,1376.60907334497,1635.35385727664,1881.5028543493
"3","Yorks & Humber",5667.58429693076,6237.69333680104,8332.54624347826,10008.5446641577,12670.5860340794,16902.4452844622,19977.5014155616,21506.1136289328,24296.1100290698,857.940051858759,1240.76968102155,1462.02110389731,1932.89846663326,2103.51127152124,2093.85409340973,1355.81149048414,1093.37112175074,2545.97938081272
"4","East Midlands",5385.61861695095,8186.42864390109,9568,12037.0371225577,13224.2587601078,14941.0197201432,17079.2436632747,20014.3627557328,25621.0161137441,591.021014224103,1157.8498223757,1173.70718989341,1068.83684387637,826.999650886895,1118.54999267565,1377.27500527345,2062.83064456566,1454.12034540795
"5","West Midlands",5206.07562310031,8601.48288200987,11204.02833725,15214.4501369859,16929.8581886446,18202.657385399,20079.0118838777,21960.182503821,23663.1637404922,1936.10531829808,1513.95911568375,1954.01378801189,1635.57047421178,917.799871416967,982.305964098531,1008.94361740347,911.191369501943,1630.35710459842
"6","East",7140.27318403032,9754.47350180505,11011.1977973419,12726.1811295681,14458.4974007561,16157.8901977507,19728.7717391304,20937.3813039014,24801.1046770601,1151.20193121832,899.919240139485,827.523420018267,1183.43980698335,1082.49883992583,1394.10897573165,1313.04133479046,1109.70468143,2350.95665170454
"7","London",4902.68055537358,8446.9127785731,11832.3977165759,14652.2947530826,18886.0403311203,21196.2322861008,23754.7018811408,26784.1133913901,30889.7323548129,1854.56114476591,1726.58686901736,1591.62231951076,1843.60649997133,1682.18238519277,1204.84766562912,1263.11495218136,1445.40854839918,1524.48097940713
"8","South East",4271.57965072303,8717.84427984569,10088.6684264636,13512.8234376067,15779.5347726677,18079.9900633714,21028.4378109453,23348.259494609,28445.7363166954,1518.72818468212,1128.48001013111,1268.38988438756,1537.65194143994,1225.08574080763,1229.62802697963,1157.16417755641,1086.30863551095,2035.68996430042
"9","South West",6498.0613847844,9201.16144949884,10785.0468943089,11384.5704186047,13716.995461209,16167.6677630392,18459.7994285714,21394.3264364265,23588.086518763,1735.77717012407,1004.50698391468,691.119735836051,924.924907561721,1494.40829334489,1757.54304198118,1486.80252830834,1324.94048183571,1687.06094030266
"10","England",5513.47338864072,8216,10204.6547935103,12707.4141395349,15162.6859351988,17565.3502300735,20584.8685116492,22884.7864716636,27133.0906001429,NA,NA,NA,NA,NA,NA,NA,NA,NA
