"","total","SE"
"GVTREGNNorth East",56755,14459.6347597244
"GVTREGNNorth West",70016,10930.0157456073
"GVTREGNYorks & Humber",60502,9914.86943502657
"GVTREGNEast Midlands",69803,10480.2514822617
"GVTREGNWest Midlands",66136,10450.8548512133
"GVTREGNEast",99153,15571.5419508929
"GVTREGNLondon",287200,38332.5959250235
"GVTREGNSouth East",157063,19762.6968880915
"GVTREGNSouth West",121370,19083.3946627218
