"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.272569991402925,0.727430008597075,0.0448086481393551,0.0448086481393551
"West","West",0.29891310144742,0.70108689855258,0.0480914318134492,0.0480914318134492
"East","East",0.312903951324605,0.687096048675395,0.0481419523440907,0.0481419523440907
"London and South East","London and South East",0.38383795184384,0.61616204815616,0.049496142029334,0.049496142029334
