"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,0,522.844845464716,3060.47858936112,0,0,0,0,0,0,55.0076568939109,611.933238915677,2493.54763561674
"West","West",0,0,0,0,0,0,0,1413.05515004793,4000,0,0,0,0,0,0,299.000047359697,928.163966519974,2121.94492317417
"East","East",0,0,0,0,0,0,55.9663857435665,1479.88035434485,9205.80267965896,0,0,0,0,0,5.76844789013295,353.292898683002,1858.39752760869,6522.35906835555
"London and South East","London and South East",0,0,0,0,0,0,1429.62007168459,2000.72513573938,6551.29714519958,0,0,0,0,0,326.464644785212,510.32894259699,571.535748186725,3168.21661979576
