"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.209555404505135,0.790444595494865,0.0320669178884226,0.0320669178884226
"West","West",0.308991304118801,0.691008695881199,0.0449368779170403,0.0449368779170403
"East","East",0.30518837215885,0.69481162784115,0.039548043506689,0.039548043506689
"London and South East","London and South East",0.30284725594949,0.69715274405051,0.0328838692686423,0.0328838692686423
