"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,0,68.1263012101304,1056.18852304798,0,0,0,0,0,0,0,95.0172675397572,804.252527259624
"West","West",0,0,0,0,0,0,2.32031810048,212.261550678341,3431.77658142665,0,0,0,0,0,0,32.1504205398541,604.106256216797,2306.57875199473
"East","East",0,0,0,0,0,0,23.1773843930635,819.382628234976,4677.34908136483,0,0,0,0,0,0,153.172105206182,684.147861634513,3160.81990653455
"London and South East","London and South East",0,0,0,0,0,0,7.00125645886922,1500,6000.00000010482,0,0,0,0,0,0,102.666293516308,605.771898660999,2757.66979934791
