"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_noincben",9289.7813407352,1140.28081110077
"2","North West","hh_grossinc_noincben",8066.84055913667,687.447815808301
"3","Yorks & Humber","hh_grossinc_noincben",6116.39461098799,858.760503251994
"4","East Midlands","hh_grossinc_noincben",8769.28289806514,743.808304495793
"5","West Midlands","hh_grossinc_noincben",10453.1751017408,873.669670237213
"6","East","hh_grossinc_noincben",12704.2836986885,681.344509691816
"7","London","hh_grossinc_noincben",15714.3325655956,979.42072612452
"8","South East","hh_grossinc_noincben",12102.0103922779,775.57972996458
"9","South West","hh_grossinc_noincben",10001.43740699,741.946615289242
"10","England","hh_grossinc_noincben",11482.6409791512,374.00811658687
