"","grpd_region1","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North",0,1067.69780380674,3667.33676092545,4316,5814.25648702595,8339.13962264151,11362.0051612903,14471.7702592087,16744,25.1302691369581,765.522821385285,596.363330257123,368.098173418001,878.86772826083,1036.3570664427,1090.26606796046,817.438710966405,475.781738741792
"2","West",2319.3116678597,5096,6986.38458874459,8810.78057054742,10771.5759349593,12167.2452907874,14090.5072086377,15516.8992651406,17687.2063875701,986.789636421254,681.70401031856,726.97483405561,948.814022590697,866.39197619084,864.253419749527,869.108546308151,930.635707472718,535.641379243481
"3","East",3046.15549132948,4375.94954383181,6851.96354256234,8216,10557.4581535807,13342.730458221,14907.2341034819,17212,18659.3564681725,1010.3477535976,428.308541428095,880.826805066555,782.307582299409,1166.73892377647,1030.89156728474,864.444581958927,689.808593762132,619.379212940673
"4","London and South East",1350.78540145986,5252,8130.50268656716,10764,15019.5245838173,18055.2564705882,20575.73451015,23192,26627.8414722314,951.48721559322,579.215600796319,1183.89075537041,1340.35756365824,1410.82959289287,1052.37496735412,864.552745181711,801.864254323831,1019.51313499442
"5","England",312,4240.48625,5772,8320,10777.7736585366,13884,16082.8169590643,18408,22248.8425015179,NA,NA,NA,NA,NA,NA,NA,NA,NA
