"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,0,356.314460728352,2447.50581640634,0,0,0,0,0,0,83.0083905190652,535.66792203368,1316.62110177434
"West","West",0,0,0,0,0,0,0,1285.1101521741,3763.39549253731,0,0,0,0,0,0,262.912344952753,792.721151750168,2128.57396887492
"East","East",0,0,0,0,0,0,26.7543490739183,1059.20161408869,7586.50529461953,0,0,0,0,0,6.63938252113882,260.067645513619,1277.48770967431,4824.33566849575
"London and South East","London and South East",0,0,0,0,0,0,100.913782691434,2000,6072.59531685147,0,0,0,0,0,2.50550856315929,414.718313790155,654.614299638068,3177.52771284778
