"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.294394942475532,0.705605057524468,0.0501290029200574,0.0501290029200574
"West","West",0.296410506699796,0.703589493300204,0.0479560852007839,0.0479560852007839
"East","East",0.313645371392423,0.686354628607577,0.0495513930721087,0.0495513930721087
"London and South East","London and South East",0.332797321977718,0.667202678022282,0.038965689591534,0.038965689591534
