"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",7566.29732107157,13033.261047836,13854.5024203822,15527.6199265863,16912.3889246619,17690.7507756667,17712.7680669339,17747.8606451613,18200.3225997046,2378.45940199965,2576.92453959771,2340.11971317014,1306.12173303075,1186.47760873232,1096.3191368501,1731.40456131145,1071.99867474869,1194.74743897541
"2","North West",6454.04768856448,10119.0929214929,11836.4399315459,12779.9871299871,13831.7112893276,15056.8884123711,16733.3055853099,18179.8294736842,20250.779868709,2573.27240410578,2583.54316063042,1192.02656959141,1091.51879495201,1064.07636034272,1279.41733670167,1005.33092415422,1166.99690337123,1377.25729457253
"3","Yorks & Humber",9119.74782042941,11217.514129979,13052,13652.5307984791,14305.3497191011,14965.4435185185,15548,17056,17896.6744097001,1137.29198065409,1553.53235747848,998.4860329572,665.954648849904,615.832371409346,753.458195385352,667.244292339238,729.009166675285,1857.17698320574
"4","East Midlands",5759.97103942652,9516.73019768235,12161.8325581395,14398.9677419355,15282.6084210526,15600,17368,18451.0618473896,19781.9993338884,6350.23905279657,1957.34312464706,1621.84716592883,1310.72898836611,914.482176428468,782.128467976816,975.294420644227,895.330325045399,2122.40887647821
"5","West Midlands",10077.4076448829,13674.4788298691,15052.6448484848,15982.2744145707,16620.7964912281,18143.6661705781,18556.1938300902,19177.6834355828,21516.6116002795,2886.73381976133,1712.2641007492,1012.95853455525,727.072949913035,755.718610992024,647.181893365753,891.456742876096,809.636048584831,1486.18200333591
"6","East",12058.5093167702,16091.3977984759,18695.3989847716,20249.7763550773,22029.7190584662,22152,23248.4589919104,24648,28655.943517955,5249.57285910056,1748.28990790246,1195.2185857818,1226.25930153732,655.194087668204,803.913510427811,688.332272628859,1398.82179720974,2126.22842357404
"7","London",11691.5303030303,14325.7101608187,16685.3839285714,18074.65088,21974.8057336854,24714.9338842975,27898.6311082721,30449.4679439941,32564.8828046745,1011.93179023325,1359.28248422499,1628.4975180753,1544.50046281117,1818.68630678909,1534.51400472376,1388.24467843972,721.737014879713,1774.73493952781
"8","South East",12637.9199050257,14169.9775862069,15548,17628,19506.1807465619,21351.1944768986,23452.2020618557,25426.2296774194,26010.1234859675,1299.50840187483,730.150235973005,1007.96185912347,1186.34986212975,1359.97255727232,1327.33734252677,1146.75120754959,650.053344574444,468.354781437041
"9","South West",11334.4887287025,14135.4617901829,15411.0530156515,16816.8915113872,18393.9661590525,19457.5459854015,20566.2850574713,21510.8115068493,23833.2844389337,1289.26960579108,1354.4138483271,1013.04510687004,1056.4626857202,1031.42787247137,936.49303056531,752.759486676665,1055.59633937382,1703.53365123907
"10","England",10661.3667351129,13486.3878064944,15073.3261188369,16501.5650750341,17940,19780.1245628643,21960.0653696498,24604.3722534683,28405.7899774266,NA,NA,NA,NA,NA,NA,NA,NA,NA
