"","total","SE"
"GVTREGNNorth East",48582,13946.6181404509
"GVTREGNNorth West",63758,10703.8071581548
"GVTREGNYorks & Humber",51851,9347.8922011084
"GVTREGNEast Midlands",60429,9931.63988238208
"GVTREGNWest Midlands",65501,10565.6747412033
"GVTREGNEast",94488,15119.8677201357
"GVTREGNLondon",265225,30907.8350612222
"GVTREGNSouth East",160761,20321.1110939582
"GVTREGNSouth West",114803,18355.3824323138
