"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,0,143.828632264236,2443.5644483092,0,0,0,0,0,0,0,314.175988422384,2579.90408286955
"West","West",0,0,0,0,0,0,0,25,2492.87842195874,0,0,0,0,0,0,1.94627717878187,382.660092693491,1906.90278699801
"East","East",0,0,0,0,0,0,20.2165543792108,502.724626579074,4587.89513274336,0,0,0,0,0,0,98.1646748482618,692.82145532781,2954.85925381171
"London and South East","London and South East",0,0,0,0,0,0,0,833.890831034371,3312.19907993099,0,0,0,0,0,0,31.0732083537198,510.221212765692,1523.24788791066
