"","total","SE"
"GVTREGNNorth East",60908,10117.0077149946
"GVTREGNNorth West",180950,17312.3435991516
"GVTREGNYorks & Humber",130570,17038.7257279554
"GVTREGNEast Midlands",97664,12374.1421220633
"GVTREGNWest Midlands",121882,15963.11506456
"GVTREGNEast",102882,12761.6938165744
"GVTREGNLondon",275081,35411.6573818693
"GVTREGNSouth East",154467,18612.9634529717
"GVTREGNSouth West",149811,19549.7338510195
