"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.22673375793442,0.77326624206558,0.0326557310326876,0.0326557310326876
"West","West",0.247061941235144,0.752938058764856,0.036193781262409,0.036193781262409
"East","East",0.30418956249439,0.69581043750561,0.0414706389526407,0.0414706389526407
"London and South East","London and South East",0.256346205779098,0.743653794220902,0.0341687114309927,0.0341687114309927
