"","grpd_region1","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North",0,2188.65499383477,4650.71252485089,7333.21459854015,10292.8102710414,13108.6036082474,15320.0834639175,19078.4195121951,22321.3186316838,184.600719477218,1031.56989447002,832.116996027067,886.198249431807,1184.45381375669,844.945685150616,752.024057372729,1199.78184958457,918.426034181431
"2","West",0,1595.41042424242,5444.50186092066,9497.31198552691,12463.7801324503,15063.9304116866,17327.9661660079,20920.3977084659,24159.8397637795,280.947358951104,1275.99736518301,1680.77136767724,1591.67968888779,1230.03394293311,1020.88200225579,892.52405731329,1019.03853888789,1711.4451689311
"3","East",1103.52156862745,5050.6353892821,7840.78738351254,10607.394078319,14324.4623655914,17090.2736842105,21074.343517955,23540.2187155963,26124.6679085521,1090.87128047826,949.831020319279,1288.64601026669,1514.57094773922,1317.29328535293,1654.05767784279,1401.21145734833,770.090137363319,1568.71759518062
"4","London and South East",0,4136.89695973706,7904,11416.843776,13364,16113.0021608643,19365.9986902423,23954.1084745763,27188.721880651,1058.25746580007,2016.36358176623,1842.59547324567,1357.19117276033,1139.81306858411,1332.48528293096,1446.0391655029,1187.38809682981,1113.06012128688
"5","England",0,3368.43957894737,6492.20332480818,9696.1463598642,12449.7829457364,15020.0265134777,17875.7881533101,21611.8076688984,25688,NA,NA,NA,NA,NA,NA,NA,NA,NA
