"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.312663585647837,0.687336414352163,0.0572884872280135,0.0572884872280135
"West","West",0.399091147966675,0.600908852033325,0.0609234598032985,0.0609234598032985
"East","East",0.400102185373557,0.599897814626443,0.0586396852491965,0.0586396852491965
"London and South East","London and South East",0.351317166782973,0.648682833217027,0.0432213856941476,0.0432213856941476
