"","total","SE"
"GVTREGNNorth East",20874,6261.8552766774
"GVTREGNNorth West",64457,10380.5345736476
"GVTREGNYorks & Humber",48391,12032.8390336677
"GVTREGNEast Midlands",50663,10277.0387864987
"GVTREGNWest Midlands",53148,10305.1003437122
"GVTREGNEast",78514,11437.514680769
"GVTREGNLondon",243422,30471.3259851432
"GVTREGNSouth East",123426,15316.7364385059
"GVTREGNSouth West",76246,12495.132145291
