"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,21.1992989484225,354.986596572124,2143.74109265829,0,0,0,0,0,25.5106728597169,98.2821384618877,497.375132404623,1296.34039588968
"West","West",0,0,0,0,0,0,103.636446940293,1722.87157684379,6942.09264024704,0,0,0,0,2.04064694767451,53.1163584629737,575.960800642413,1740.73535520613,30809.4071092679
"East","East",0,0,0,0,0,0.238439306358394,672.166438304904,2827.17680350311,11194.6364719905,0,0,0,0,6.37766821155818,199.469281367564,767.607517410013,2442.33142729244,8370.40735545839
"London and South East","London and South East",0,0,0,0,0,0,267.246634832986,1832.50495891187,5736.59058671825,0,0,0,0,0,27.2957590113555,382.660092693491,934.456864043412,2771.35117136033
