"","total","SE"
"GVTREGNNorth East",19640,6139.30358341944
"GVTREGNNorth West",62285,10151.5766807782
"GVTREGNYorks & Humber",46175,11827.5572793949
"GVTREGNEast Midlands",50663,10277.0387864987
"GVTREGNWest Midlands",49640,9995.51561209641
"GVTREGNEast",78514,11437.514680769
"GVTREGNLondon",228907,29953.2944793963
"GVTREGNSouth East",120308,15158.7479366857
"GVTREGNSouth West",73097,12092.9881602963
