"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,100.000000052857,375.709275418465,2377.43467939192,0,0,0,0,0,27.8610006056848,108.284746093432,568.592493790471,1336.97145325482
"West","West",0,0,0,0,0,0,81.0292983808787,2201.39288559078,7048.30313947504,0,0,0,0,0.0832579374615797,25.5106728591911,588.343843271745,1793.99956187405,31581.0016868309
"East","East",0,0,0,0,0,0.238439306358394,672.166438304904,2827.17680350311,11194.6364719905,0,0,0,0,6.37766821155818,199.469281367564,767.607517410013,2442.33142729244,8370.40735545839
"London and South East","London and South East",0,0,0,0,0,0,235.923926230508,1916.47775573817,5813.24306898775,0,0,0,0,0,25.5106728563756,426.771198333962,988.14551420648,2797.94362631908
