"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.326385636221702,0.673614363778298,0.0593771573034451,0.0593771573034451
"West","West",0.383046677041153,0.616953322958847,0.0614362111297884,0.0614362111297884
"East","East",0.400102185373557,0.599897814626443,0.0586396852491965,0.0586396852491965
"London and South East","London and South East",0.340257434531735,0.659742565468265,0.0443015098286103,0.0443015098286103
