"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.373297723683449,0.626702276316551,0.0581297192571701,0.0581297192571701
"West","West",0.372954517565704,0.627045482434295,0.0651704039411048,0.0651704039411048
"East","East",0.392940954968161,0.607059045031839,0.056345286029503,0.056345286029503
"London and South East","London and South East",0.3872018328669,0.6127981671331,0.045500423576471,0.045500423576471
