"","total","SE"
"GVTREGNNorth East",25556,6667.54098403991
"GVTREGNNorth West",62243,9965.65133250198
"GVTREGNYorks & Humber",33142,7611.78639411848
"GVTREGNEast Midlands",61194,12648.3763269845
"GVTREGNWest Midlands",68020,15630.145821115
"GVTREGNEast",87523,11956.421922081
"GVTREGNLondon",226123,29180.9203270496
"GVTREGNSouth East",118692,15096.8472736053
"GVTREGNSouth West",70517,12322.8464818602
