"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,120.880352474166,596.715660799151,3096.09638322327,0,0,0,0,0,54.6600398244849,162.215206369051,756.841687933082,1353.46938463858
"West","West",0,0,0,0,0,0,24.0084058299324,1243.91637617792,6757.62642659774,0,0,0,0,0.0186396220785659,50.3285402402615,530.668974419753,1733.08257334231,29576.7620973816
"East","East",0,0,0,0,0,0,649.126038732263,2698.25693265422,13188.8814061015,0,0,0,0,2.31338825888467,192.1352099633,704.517589728108,2986.50172732802,8652.46835775611
"London and South East","London and South East",0,0,0,0,0,0,739.968442143103,2413.41635955271,11989.1662895067,0,0,0,0,0,153.064037152119,509.755420222819,1147.6368240587,3721.5845520471
