"","grpd_region1","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North",8177.72180595581,10671.1080036799,13019.2996203493,13812.8103639729,14846.3668861712,16120.5322652425,17622.2342592593,17784,18500.8307692308,1513.44095725938,1088.38136243758,844.446652951519,574.993959341261,743.784426932966,834.742208241245,561.442216289591,141.285945567942,906.889191203035
"2","West",10693.9011976048,13714.5636781609,15421.4540524374,16475.4206235012,17441.0202723147,18681.163190184,19520.4583941606,21124.2383464006,22384.9619135235,1179.3396831605,932.469260339311,717.864031175101,641.848723688563,719.401936884225,645.588909706817,636.17723134789,605.973377959307,1076.7367983554
"3","East",9680.92077669903,13155.7966970003,15490.8522613065,16907.0245028865,18792.8197969543,20250.4477740417,22070.5634259259,23209.0464219042,25068.8249050873,1873.97609559942,1250.09802443982,871.15827797166,872.193454230946,912.929810018625,980.446341879577,800.432942915134,648.809944364542,1576.49048433289
"4","London and South East",11813.7212121212,14317.5024853801,16197.643099631,18017.3879762913,21004.5175819834,23205.1604017217,25532,27880.1612264452,30960.109005059,412.368142406981,926.012996806579,913.471360562382,1178.15938986733,1230.73352034398,918.339621296297,809.031450949826,1140.19827737836,662.84870889574
"5","England",10601.9982479194,13468,15067.7001264223,16536,17940,19659.3579335793,21912.3506493507,24615.5950506187,28649.5155203895,NA,NA,NA,NA,NA,NA,NA,NA,NA
