"","region","category","svy_fun","SE"
"1","North","Do this",0.412636895196683,0.0676387899925007
"2","North","Like to but can't afford",0.53168676488461,0.0659828789879116
"3","North","Don't want to",0.0556763399187069,0.0250120896749407
"4","North","Does not apply",0,0
"5","West","Do this",0.2926248679196,0.0506433780039754
"6","West","Like to but can't afford",0.636864975246055,0.0580416644994577
"7","West","Don't want to",0.0601396193710005,0.0415849983336053
"8","West","Does not apply",0.010370537463344,0.010340701244335
"9","East","Do this",0.509666058170512,0.0581749063641889
"10","East","Like to but can't afford",0.430860430763673,0.0562259568186862
"11","East","Don't want to",0.0594735110658143,0.0246319079578806
"12","East","Does not apply",0,0
"13","London and South East","Do this",0.534261920917895,0.0438329418703578
"14","London and South East","Like to but can't afford",0.43114181728456,0.0425839811020004
"15","London and South East","Don't want to",0.0345962617975449,0.0132352269808484
"16","London and South East","Does not apply",0,0
"17","England","Do this",0.462948728768136,0.0286652925512667
"18","England","Like to but can't afford",0.48759673655952,0.0280487374923493
"19","England","Don't want to",0.0474622120141504,0.0118218910750989
"20","England","Does not apply",0.00199232265819407,0.00199158912584161
