"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.302985699431488,0.697014300568512,0.0541227361370348,0.0541227361370348
"West","West",0.31433209429257,0.68566790570743,0.0506891723373206,0.0506891723373206
"East","East",0.313422823121134,0.686577176878866,0.0495235429562447,0.0495235429562447
"London and South East","London and South East",0.343054306757268,0.656945693242732,0.0404522434635806,0.0404522434635806
