"","total","SE"
"GVTREGNNorth East",45748,13790.2381122415
"GVTREGNNorth West",59585,10421.5214137663
"GVTREGNYorks & Humber",42773,8377.25411133973
"GVTREGNEast Midlands",60539,9947.64666496006
"GVTREGNWest Midlands",59854,10036.2309484876
"GVTREGNEast",94488,15119.8677201356
"GVTREGNLondon",249536,30318.5869711104
"GVTREGNSouth East",157522,20192.9072618162
"GVTREGNSouth West",110170,18016.5620636331
