"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,2387.62954209749,7546.71971830986,9745.67069767442,13145.9886749717,14301.8497142857,17167.7748873149,17537.9965835803,17662.3941432805,1382.83018113172,2308.97177384257,3358.81075115259,3916.81143025033,3580.72717064748,3016.27470894067,2287.02669224572,1687.82504503824,1081.46791709262
"2","North West",0,1275.17117117117,5726.3309352518,7290.64092664093,7573.72141918528,8343.1027857829,11287.013799448,12345.4674329502,14587.5340393343,1342.76079254351,1625.25596678541,1897.26197376351,713.872461357384,1128.63521056613,1125.46081030275,1550.2018140274,1499.01500523212,1477.9491448961
"3","Yorks & Humber",0,1854.58356164384,5416.14875798439,6487.34686431015,8329.59029993618,11704.5331098072,13411.6504672897,14361.3267958951,16238.1227722772,1326.78532696599,1411.79183848729,1961.948993745,1872.22321962204,2018.99324083511,1970.22242106628,1858.94553476057,995.110174828425,896.061120885162
"4","East Midlands",0,0,3170.39579751671,5106.11257162117,5818.98392282958,8912.60615097856,13193.9426841574,15418.4151072961,17091.7121464226,184.383565472583,1141.70682833754,1384.9361302411,1581.6453779599,2271.84800944386,2474.81693281641,2431.05568734449,1081.53906888958,855.870169196471
"5","West Midlands",0,0,0,3394.65643961076,5941.54491017964,7896.36826111424,12611.7333333333,15772.2884220811,18327.4604651163,0,119.544805110949,1449.32209097654,1680.69157190671,2836.773681804,2349.94642188398,2636.72789075768,2064.59310929569,930.288854263594
"6","East",0,1770.89269670478,6343.52727272727,8268.01579347001,12374.1400894188,15233.3053344623,18285.1452009844,22068.8087529808,23154.2053515868,367.859257263378,1565.67636412069,2542.60661900501,2808.66362347352,2610.93831366385,3020.54273169389,2125.88627005013,1650.15820339529,707.517562994643
"7","London",0,0,0,7668.36020236088,9683.49342891278,14237.7168859649,16952,21173.1798245614,27363.7651868413,0,1001.64427079091,2018.58966591676,2933.84904909602,2095.56049278964,2433.14425328241,1742.19745603781,2158.20191631232,1960.17891348473
"8","South East",0,3275.71012916383,7203.18334529792,10885.0703448276,14841.012465374,16325.8598903837,19136.4722162162,21880.7759810639,24958.8870455709,755.050964849311,1811.02692216148,2015.04308414896,2078.19639982824,1704.83477295088,1675.65890476887,1777.08533445553,1734.32116771195,951.145862150702
"9","South West",0,4870.28481510622,6523.74367816092,8089.03703703704,10582.3066841415,13328.4534686971,15108.8485694348,16816.1055900621,20507.8445229682,1161.86679211745,1662.61021464264,984.847276131536,1499.330195068,2045.96778978111,1959.40422808166,1619.66611542968,1542.02049356321,1205.91689873473
"10","England",0,0,5408,7703.97640117994,10472.8428865979,13884,16156.825815406,18028.404040404,22282.8976842105,NA,NA,NA,NA,NA,NA,NA,NA,NA
