"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,3.21366284234574,513.688311132527,2594.13455258001,0,0,0,0,0,2.48892054812359,179.107867231078,621.886254604744,2584.47485157007
"West","West",0,0,0,0,0,0,8.19799830802829,1497.8063574101,3928.02892537313,0,0,0,0,0,1.91824565096448,376.312274200652,853.130741068334,2840.14486617921
"East","East",0,0,0,0,0,0,26.7004896270494,1057.61637125768,7573.71799701148,0,0,0,0,0,6.62198734072763,259.500872790959,1273.78135860665,4807.90758457793
"London and South East","London and South East",0,0,0,0,0,0,126.87989853988,2000.03685723411,6372.96760525815,0,0,0,0,0,20.3243723802327,486.460264685647,789.701177901086,3181.06049046302
