"","grpd_region1","TOTCAPB3 == 0FALSE","TOTCAPB3 == 0TRUE","se.TOTCAPB3 == 0FALSE","se.TOTCAPB3 == 0TRUE"
"North","North",0.22066442321669,0.77933557678331,0.032725886322097,0.032725886322097
"West","West",0.259578804120118,0.740421195879882,0.0361204254434585,0.0361204254434585
"East","East",0.294864847002842,0.705135152997158,0.0394364419532059,0.0394364419532059
"London and South East","London and South East",0.333075036161604,0.666924963838396,0.0415063718262522,0.0415063718262522
