"","total","SE"
"GVTREGNNorth East",88825,16144.6747753926
"GVTREGNNorth West",160728,16528.7860705887
"GVTREGNYorks & Humber",115064,15647.4152632272
"GVTREGNEast Midlands",95351,12075.5908077917
"GVTREGNWest Midlands",125912,16433.8201342324
"GVTREGNEast",131614,16974.4273190104
"GVTREGNLondon",378657,45775.4946338511
"GVTREGNSouth East",221427,24444.3734622426
"GVTREGNSouth West",172429,21657.100406381
