"","grpd_region1","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North",7067.43192261185,9967.41683899557,12110.2708992154,13026.7627306273,14176.5,15548,17056,17899.8273666804,21357.3816891412,853.618416710062,666.957127804709,484.811758327533,404.948469484352,557.368460007676,498.853484772942,477.610108388997,305.107647240943,910.594109131089
"2","West",6412.43226977951,9104.32,12214.8112391931,14670.5343563512,16172,17646.175612708,18857.8508444444,20592,22238.0808959157,2037.12273975947,1296.98370307241,1241.5786780241,880.317864459385,488.028552549662,583.575413117949,504.090895441558,552.344672967408,833.315681047673
"3","East",7117.80678466077,10483.4113524877,13402.7351097179,15462.1048097631,17004.1908646003,18512,20311.8679219906,22152,24713.6305278174,1423.076718309,940.215675751343,950.017567359126,727.096313505255,717.572141908869,815.158191509514,881.264010561614,763.112184224034,1318.67048178971
"4","London and South East",9559.66514948684,12983.9077886655,14979.1344627054,17063.9186131387,19604,22258.626236452,25189.9128862095,28096.6056862057,30731.1235608309,3040.84567265596,936.915736865876,984.250653154008,1052.38212916583,1115.47982950585,1103.31366817783,1262.72433159326,1149.62462311204,587.294748761688
"5","England",8112,11371.1288888889,13156,15080,16640,18252,20748,23224.0728837877,27870.1255177255,NA,NA,NA,NA,NA,NA,NA,NA,NA
