"","grpd_region1","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"North","North",0,0,0,0,0,0,0,39.4096902944947,2426.38374164057,0,0,0,0,0,0,0,324.271530517422,2826.09810586987
"West","West",0,0,0,0,0,0,0,187.435897435898,3201.89405131225,0,0,0,0,0,0,6.37766821155818,382.922573212624,1787.87409971669
"East","East",0,0,0,0,0,0,0,1182.52489073637,6245.57673928315,0,0,0,0,0,0,241.191586537165,733.149987927511,3901.18829069633
"London and South East","London and South East",0,0,0,0,0,0,125.98077012706,1928.29409780776,5499.80389736526,0,0,0,0,0,19.739599554851,461.68758975922,505.686848775318,1659.95770452653
